文件1,文件2,相似度
sub006,sub173,0.6393
sub006,sub174,0.5346
sub007,sub008,0.4902
sub007,sub009,0.4321
sub007,sub010,0.5288
sub007,sub011,0.6369
sub007,sub012,0.4564
sub007,sub013,0.5125
sub007,sub014,0.4686
sub007,sub015,0.4047
sub007,sub016,0.4078
sub007,sub017,0.4243
sub007,sub018,0.2920
sub007,sub019,0.3567
sub007,sub020,0.4951
sub007,sub021,0.4908
sub007,sub022,0.5454
sub007,sub023,0.5736
sub007,sub024,0.4451
sub007,sub025,0.6066
sub007,sub026,0.5375
sub007,sub027,0.9445
sub007,sub028,0.5457
sub007,sub029,0.4151
sub007,sub031,0.5152
sub007,sub032,0.4519
sub007,sub033,0.3146
sub007,sub034,0.5176
sub007,sub035,0.5858
sub007,sub036,0.4148
sub007,sub037,0.3527
sub007,sub038,0.3936
sub007,sub039,0.5059
sub007,sub040,0.5210
sub007,sub041,0.4994
sub007,sub042,0.5313
sub007,sub043,0.5250
sub007,sub044,0.4446
sub007,sub045,0.3912
sub007,sub048,0.4253
sub007,sub049,0.5502
sub007,sub050,0.5466
sub007,sub051,0.3796
sub007,sub052,0.4932
sub007,sub053,0.5877
sub007,sub054,0.4757
sub007,sub055,0.4107
sub007,sub056,0.4201
sub007,sub057,0.4518
sub007,sub058,0.4012
sub007,sub059,0.4737
sub007,sub060,0.4069
sub007,sub061,0.4805
sub007,sub062,0.5301
sub007,sub063,0.4918
sub007,sub064,0.3121
sub007,sub065,0.3817
sub007,sub066,0.4022
sub007,sub067,0.4910
sub007,sub068,0.4157
sub007,sub069,0.4637
sub007,sub070,0.4878
sub007,sub071,0.8141
sub007,sub072,0.3864
sub007,sub073,0.4156
sub007,sub074,0.6329
sub007,sub075,0.5737
sub007,sub076,0.5831
sub007,sub077,0.3177
sub007,sub078,0.3899
sub007,sub079,0.4892
sub007,sub080,0.5099
sub007,sub081,0.3647
sub007,sub082,0.3890
sub007,sub083,0.5404
sub007,sub084,0.5015
sub007,sub085,0.5178
sub007,sub086,0.4429
sub007,sub087,0.4835
sub007,sub088,0.6267
sub007,sub089,0.3553
sub007,sub090,0.4065
sub007,sub091,0.5659
sub007,sub092,0.4168
sub007,sub093,0.4898
